X,Y,osm_id,osm_type,completeness,is_in_health_zone,amenity,speciality,addr_street,operator,water_source,changeset_id,insurance,staff_doctors,contact_number,uuid,electricity,opening_hours,operational_status,source,is_in_health_area,hidden,changeset_version,emergency,changeset_timestamp,addr_housenumber,addr_postcode,health_amenity_type,addr_city,name,staff_nurses,changeset_user,wheelchair,beds,url,dispensing,healthcare,operator_type,tag
11.6619898644187,10.5706786440819,3667918153,node,21,,doctors,,,,,32900034,,0,,69cbae15c3654270ac8fc958f088ba16,,,,ehealthafrica.org,,0,1,,2015/07/27 01:38:57,,,,,Limanti Dispensary,0,edvac,,,,,,public,
,,288807999,way,9,,hospital,,,,,23027617,,,,3e0e0f76c8984a61a8784dfa696cf777,,,,bing,,0,1,,2014/06/19 16:01:36,,,,,,,Owolabi_Import,,,,,,,
,,844985371,way,12,,hospital,,,,,90518372,,,,e5ba481bd7f94afc819c16647e0c12a4,,,,,,0,1,,2020/09/07 09:08:12,,,,,Gudin Health Post,,Isa sani,,,,,hospital,,
,,302054985,way,18,,hospital,,,,,85770655,,,,eb748d0a712049778265c78a1a01b54e,,,,"Bing;ehealthafrica.org",,0,3,,2020/05/26 12:30:37,,,,,Zoro Dispensary,,EMStokes,,,,,hospital,public,
5.23867066657672,12.9925095372155,7820372217,node,9,,hospital,,,,,89523811,,,,be3716f5446b442c8e27a86275697719,,,,MSFsurvey,,0,1,,2020/08/17 14:21:14,,,,,,,Jorieke V,,,,,,,
,,301778556,way,18,,hospital,,,,,84270134,,,,741d40cbee7641df9292ecb21de6ab1c,,,,"Bing;ehealthafrica.org",,0,2,,2020/04/28 13:28:08,,,,,Ni'ima Clinic,,Jcasas1,,,,,hospital,public,
,,792169792,way,15,,hospital,,,,,83595858,,,,b93c1227b18f4e65a5c9cf4e340d9554,,,,ehealthafrica.org,,0,1,,2020/04/15 13:39:14,,,,,Dala Health Post,,Jcasas1,,,,,hospital,,
,,289027203,way,6,,hospital,,,,,23059457,,,,b2a3fe1f1f0c4d8c918cdd5ae65994ab,,,,,,0,1,,2014/06/21 10:52:39,,,,,,,olub,,,,,,,
,,797474877,way,18,,hospital,,,,,84268703,,,,96c613c47973495ead9add4cc01eaa31,,,,ehealthafrica.org,,0,1,,2020/04/28 13:01:34,,,,,Yame Model Primary Health Center,,Jcasas1,,,,,hospital,public,
,,795536406,way,15,,hospital,,,state government,,84043597,,,,e29e91d971e046399892b9ffb871d4d3,,,,,,0,1,,2020/04/24 07:18:02,,,,,Edunabon Community Health Centre,,YoungSimp,,,,,hospital,,
,,-3995206,way,3,,hospital,,,,,,,,,e81d9e6057794e61b52c65e4dc987828,,,,,,0,,,,,,,,,,,,,,,,,
4.71028227985994,9.70098888314735,8026244395,node,15,,doctors,,,,,92787689,,,,6854e463eb0a4e58bb6e712a0fb489a8,,,,MSFsurvey,,0,1,,2020/10/20 19:33:55,,,,,PHC Leaba,,laechoppe,,,,,doctor,,
,,793800034,way,18,,hospital,,,,,83812651,,,,ef35d47c85364dfcaf3ad4117250094b,,,,ehealthafrica.org,,0,1,,2020/04/20 09:48:31,,,,,Kimari Dispensary,,YoungSimp,,,,,hospital,public,
,,305126173,way,18,,hospital,,,,,85903947,,,,abd8143fe3cf4f88af585dbfc1af506c,,,,"Bing;ehealthafrica.org",,0,2,,2020/05/28 18:25:00,,,,,Bajar Health Clinic,,EMStokes,,,,,hospital,public,
,,188794645,way,9,,hospital,,,,,13731663,,,,31c000b22c394bb8a5020cfc827365fc,,,,,,0,2,,2012/11/03 08:53:42,,,,,BETHSAIDA MISSIONARY CLINIC,,jlundine,,,,,,,
,,839034067,way,9,,hospital,,,,,89695676,,,,09768e244e164285be55f25fa3a39001,,,,,,0,1,,2020/08/20 13:47:48,,,,,,,ismail abdulazeez,,,,,hospital,,
,,291435971,way,15,,hospital,,,,,83655013,,,,cf3bb77636bd4b65a560044d9a229a6b,,,,"Bing;ehealthafrica.org",,0,2,,2020/04/16 14:43:45,,,,,Tamawa Health Post,,WorldStar007,,,,,hospital,,
,,291889763,way,15,,hospital,,,,,85082938,,,,f4e01dbffefb43d89374afb58498b181,,,,"Bing;ehealthafrica.org",,0,2,,2020/05/12 11:14:23,,,,,Kurna Health Post,,{display_name},,,,,hospital,,
,,839051571,way,9,,hospital,,,,,89698566,,,,f0f9df99f0804fc48d41c8b9235f473b,,,,,,0,1,,2020/08/20 14:54:39,,,,,,,ismail abdulazeez,,,,,hospital,,
,,839415564,way,18,,hospital,,,government,,89759354,,,,ef7712d0361a427d91e96048f5598cd7,,,,,,0,1,,2020/08/21 18:18:06,,,,,Tudun Wada Maternity and Child Health Center,,Wamdai Isah Gazama,,,,,hospital,public,
14.2096749498835,11.3557736281427,3678059623,node,21,,clinic,,,,,33056283,,0,,5b6720286ffb45369ab0bc4cdc6a18aa,,,,ehealthafrica.org,,0,1,,2015/08/02 20:46:13,,,,,Kumshe Clinic,0,edvac_import,,,,,,public,
,,839118733,way,9,,hospital,,,,,89708656,,,,a79068f6eb9f42c0ae0af4a192532f5f,,,,,,0,1,,2020/08/20 19:20:41,,,,,,,I_am_royalty,,,,,hospital,,
,,838010836,way,9,,hospital,,,,,89542223,,,,0de13e07eb864025b531f7875b62e917,,,,,,0,1,,2020/08/18 00:43:42,,,,,,,Musa Mohammed kini,,,,,hospital,,
,,802562292,way,12,,hospital,,,,,85030145,,,,94e357bf7a434d3aaa69f0b7ba4e6213,,,,,,0,1,,2020/05/11 14:13:25,,,,Ejigbo,"Baptist Hospital, Eigbo",,vientosiroco,,,,,,,
,,849209025,way,6,,hospital,,,,,91150719,,,,5c469186b8604eefb7d71bdd0151d7e9,,,,,,0,1,,2020/09/19 13:49:11,,,,,,,laechoppe,,,,,,,
,,289391479,way,6,,hospital,,,,,23104012,,,,fd36e39a905542ba878d8ee373e96fea,,,,,,0,1,,2014/06/23 15:28:52,,,,,,,Arike,,,,,,,
3.39440126567965,6.45786491890794,4875180826,node,12,,clinic,,,,,72611011,,,,513ffc59c835493ba12a634381cf7a70,,,,,,0,2,,2019/07/24 16:31:58,,,,,Anikantamo Health Post,,zaizone,,,,,clinic,,
,,291757023,way,15,,hospital,,,,,83709261,,,,d41a0c50004d4f659cfb414957eda0e6,,,,"Bing;ehealthafrica.org",,0,2,,2020/04/17 13:14:31,,,,,Kazurawa Health Post,,Jcasas1,,,,,hospital,,
7.50854997657208,6.48270091710623,2455133217,node,12,,clinic,,,,,83719137,,,8068415003,28740ad41fb34ef0b4c57767d84a0c02,,,,,,0,4,,2020/04/17 17:19:14,,,,,Lotanna Clinic,,Piet128,,,,,,,
,,795237164,way,18,,hospital,,,,,83999617,,,,9a2bc693d6dd49dd8235523d795bf306,,,,ehealthafrica.org,,0,1,,2020/04/23 11:44:36,,,,,Buarnawa Dispensary,,YoungSimp,,,,,hospital,public,
,,289366978,way,6,,hospital,,,,,23099998,,,,9121e128cdb84cdeb32f3f69cdc09a2e,,,,,,0,1,,2014/06/23 12:22:57,,,,,,,Arike,,,,,,,
,,839754799,way,24,,hospital,,Jebuwa,primary,,89794434,,,,1059ceb518e24a979f05b3258d31e982,,,,,,0,1,,2020/08/22 22:29:28,,,,yusufari,Shekke Health Clinic,,Abdulaziz Jimoh,,,,,hospital,state_primary_health_care,
7.65213063682987,11.1545704848711,4484741172,node,12,,hospital,,,,,43433434,,,,4f08e0aebb374a679936265de52d8311,,,,,,0,1,yes,2016/11/06 01:07:56,,,,,Sick Bay,,usefulness,,,,,,,
,,291438250,way,15,,hospital,,,,,83640838,,,,975d8b8d77394744aabf95498d0534a1,,,,"Bing;ehealthafrica.org",,0,2,,2020/04/16 09:57:59,,,,,Agalawa Health Post,,WorldStar007,,,,,hospital,,
,,839837304,way,9,,hospital,,,,,89804711,,,,8be8ffdffc3e405a84151e76c36ebd48,,,,,,0,1,,2020/08/23 10:47:24,,,,,,,Musasani,,,,,hospital,,
14.3987149458219,11.960510256296,3659362749,node,24,,clinic,,,,,90140606,,0,,ac7621dd927244cf8268cde8993a8910,,,,ehealthafrica.org,,0,4,,2020/08/30 10:01:23,,,,,Jarawa Dispensary,0,mueschel,,,,,dispensary,public,
,,-4069793,way,15,,hospital,,,,,,,,,3fd00f32262040af89f1f03a14d243c4,,,,ehealthafrica.org,,0,,,,,,,,Geni Hospital,,,,,,,hospital,public,
,,839057715,way,9,,hospital,,,,,89699383,,,,a178ca00bde24c31a853001c1654cc70,,,,,,0,1,,2020/08/20 15:15:10,,,,,,,ismail abdulazeez,,,,,hospital,,
4.69330724955296,10.7997370308939,8026231562,node,15,,doctors,,,,,92787632,,,,359b026abd7a4be4b5392db962e03a5e,,,,MSFsurvey,,0,1,,2020/10/20 19:32:44,,,,,PHC,,laechoppe,,,,,doctor,,
8.04411662516665,11.6947166700836,8179720879,node,6,,pharmacy,,,,,95049994,,,,6416bbbdd7154ea2a0c98cda687c37a4,,,,,,0,1,,2020/11/30 14:08:08,,,,,,,Smart D,,,,,,,
13.5843327538826,10.7414743381158,7843550587,node,12,,hospital,,,,,89919237,,,,86a79f54bd50441a8864dc3a88916fd4,,,,,,0,1,,2020/08/25 13:55:38,,,,,sukur sama heath post,,Musasani,,,,,hospital,,
,,794670735,way,18,,hospital,,,,,83921430,,,,aaeee0dc33034b68854f55170345638c,,,,ehealthafrica.org,,0,1,,2020/04/22 07:26:49,,,,,Zukku Dispensary,,YoungSimp,,,,,hospital,public,
,,842251912,way,18,,hospital,,,state primary health care,,90131016,,,,4dab483e99a3410593f94613a930170f,,,,,,0,1,,2020/08/29 21:11:16,,,,,Chalillo Health Center,,I_am_royalty,,,,,hospital,state_primary_health_care,
,,608627450,way,9,,hospital,,,,,60796912,,,,7e05a12a053a48f98ae512b2ec10ba30,,,,,,0,1,,2018/07/17 11:31:17,,,,,,,Stander Rawat,,,,,hospital,,
4.34576362058471,11.7207529568163,7918190512,node,15,,doctors,,,,,91069115,,,,8b715b2e77fe47d6b6102eb4ecdf6877,,,,MSFsurvey,,0,1,,2020/09/17 20:11:17,,,,,PHC Maya Tafukka,,Polarfox128,,,,,doctor,,
,,840163384,way,9,,hospital,,,,,89855222,,,,cbdfb3998db54c8fa54715f480677c4e,,,,,,0,1,,2020/08/24 11:37:55,,,,,,,Isa sani,,,,,hospital,,
8.8069581592159,11.2014940552171,7133029388,node,6,,pharmacy,,,,,79606842,,,,b589966672a74ecead25a53e49891aef,,,,,,0,1,,2020/01/15 12:26:17,,,,,,,MMJOSM2,,,,,,,
,,291901211,way,15,,hospital,,,,,85082938,,,,42360adae44948ef98d456e5e202a8d5,,,,"Bing;ehealthafrica.org",,0,2,,2020/05/12 11:14:23,,,,,Kore Primary Health Centre,,{display_name},,,,,hospital,,
12.8082885488686,11.0598754308542,3458635956,node,21,,doctors,,,,,30253613,,0,,c8142f1cb4894342b6ed48e9efa0c2d5,,,,ehealthafrica.org,,0,1,,2015/04/16 02:27:46,,,,,Gumsuri Clinic,1,edvac_import,,,,,,public,
7.83117412358644,11.4799184989598,2923263869,node,12,,hospital,,,,,23021229,,,,77c2e24ea56643b8883bca1483679362,,,,ehealthafrica.org,,0,1,,2014/06/19 10:44:50,,,,,Hago Primary Health Centre,,sameme_import,,,,,,,
,,849049480,way,18,,hospital,,,State Primary HealthCare Development Agency,,91136274,,,,a2678b2eda354be8af443cf6634eaf1b,,,,,,0,1,,2020/09/18 23:24:21,,,,,Health Post,,Austinenoni,,,,,hospital,State_Primary_HealthCare_Development_Agency,
3.91755196874135,7.49682193383268,8960475573,node,12,,clinic,,,,,108836737,,,,3ef8400cc8b746fb97b567c6f564be7b,,,,,,0,1,,2021/07/29 16:25:25,,,,,Sagbe Clinic(Oluwasogo Clinic),,GY_OSM,,,,,clinic,,
8.1677975576431,11.8511892841555,2925699893,node,12,,hospital,,,,,23058208,,,,4f2eab4db8684f68be60a09d62e3cac6,,,,ehealthafrica.org,,0,1,,2014/06/21 09:26:32,,,,,Kabo Cottage General Hospital,,sameme_import,,,,,,,
,,842245981,way,18,,hospital,,,state primary health care,,90130248,,,,6f99efb3e2244690b57eed920d0ccc12,,,,,,0,1,,2020/08/29 20:32:17,,,,,Darin Dispensary,,I_am_royalty,,,,,hospital,state_primary_health_care,
,,305126205,way,18,,hospital,,,,,85896995,,,,fc268a0c5e1b4455baccdac11ef2a06f,,,,"Bing;ehealthafrica.org",,0,2,,2020/05/28 15:03:41,,,,,Saminakan Gwa Maternity,,EMStokes,,,,,hospital,public,
4.62992346539289,9.85402349199455,8026202112,node,15,,doctors,,,,,92787212,,,,52795ff6a7a14d57b63f4fdbfd24d14c,,,,MSFsurvey,,0,1,,2020/10/20 19:21:52,,,,,PHC Nassarawa,,laechoppe,,,,,doctor,,
,,809112639,way,18,,hospital,,,,,88014917,,,,a6c0d1d209184f53a89bb5ff38b5e42d,,,,ehealthafrica.org,,0,2,,2020/07/15 07:22:32,,,,,Riban Garmu Maternity,,Ambassador_Spock,,,,,hospital,public,
13.0458266556641,10.2604943310245,7852356961,node,15,,hospital,,,State Ministry Of Health,,90064441,,,,706549ff91444f288e157eb73b8ee8b7,,,,,,0,1,,2020/08/28 07:26:06,,,,,Shiwa Kalaa Health Clinic,,Nanret Jack,,,,,hospital,,
,,842246179,way,18,,hospital,,,state primary health care,,90130297,,,,fc2caef180b5463a8337c1adc1c00e87,,,,,,0,1,,2020/08/29 20:34:39,,,,,Fadawa Health Post,,I_am_royalty,,,,,hospital,state_primary_health_care,
4.63384996793454,12.7165148395647,7910209097,node,12,,doctors,,,,,90945310,,,,f169c6d13da346c8bc2f230a8dae018e,,,,MSFsurvey,,0,1,,2020/09/15 20:09:46,,,,,Primary PHC Wali,,Jorieke V,,,,,,,
,,842490125,way,18,,hospital,,,State Primary HealthCare Development Agency,,90158236,,,,5caaed11a59247108670423d330827ee,,,,,,0,1,,2020/08/30 22:31:12,,,,,Shamka Dispensary,,Austinenoni,,,,,hospital,state_Primary_HealthCare_Development_Agency,
,,844982703,way,12,,hospital,,,,,90517633,,,,a6cbba9f7d2244789b0019368da6e17c,,,,,,0,1,,2020/09/07 08:57:16,,,,,Gangjang Health Post,,Isa sani,,,,,hospital,,
,,837477275,way,12,,hospital,,,,,89458775,,,,c78de56f2e1f4eb498928d4c82ca9a97,,,,,,0,1,,2020/08/15 23:30:54,,,,,Wajah Primary Health Center,,Elam Briska Mapida,,,,,hospital,,
,,301445154,way,18,,hospital,,,,,90354056,,,,becc7f148eb4443ba259fb3eff403261,,,,"Bing;ehealthafrica.org",,0,3,,2020/09/03 10:06:45,,,,,Lodiya Dispensary,,Nelson721,,,,,hospital,public,
,,803285140,way,18,,hospital,,Gynescope Street,,,85136271,,,,88861b76a7f74f7ab5139c1249445ab0,,24/7,,,,0,1,,2020/05/13 09:49:15,,,,,Gynescope Specialist Hospital,,vientosiroco,,,,,hospital,,
,,795143747,way,18,,hospital,,,,,83983128,,,,4dec09861f84459e8d90a8c22f4a915d,,,,ehealthafrica.org,,0,1,,2020/04/23 07:34:40,,,,,Lomin Fulani Maternity,,YoungSimp,,,,,hospital,public,
